,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2023-06-27,263.987222640256,248.58453469621796,286.0173251217317,263.987222640256,263.987222640256,4.089296831278804,4.089296831278804,4.089296831278804,4.089296831278804,4.089296831278804,4.089296831278804,0.0,0.0,0.0,268.0765194715348
1,2023-06-28,263.76969616530437,248.5871510440387,286.2234586158686,263.76969616530437,263.76969616530437,3.9235934489607063,3.9235934489607063,3.9235934489607063,3.9235934489607063,3.9235934489607063,3.9235934489607063,0.0,0.0,0.0,267.6932896142651
2,2023-06-29,263.5521696903528,246.05929308561835,282.5759548884786,263.5521696903528,263.5521696903528,2.1785020939144353,2.1785020939144353,2.1785020939144353,2.1785020939144353,2.1785020939144353,2.1785020939144353,0.0,0.0,0.0,265.73067178426726
3,2023-06-30,263.3346432154012,244.37095581990712,284.1639023567358,263.3346432154012,263.3346432154012,1.3977912899932654,1.3977912899932654,1.3977912899932654,1.3977912899932654,1.3977912899932654,1.3977912899932654,0.0,0.0,0.0,264.73243450539445
4,2023-07-03,262.68206379054635,246.0942569749684,283.1298008856442,262.68206379054635,262.68206379054635,2.5960040533627518,2.5960040533627518,2.5960040533627518,2.5960040533627518,2.5960040533627518,2.5960040533627518,0.0,0.0,0.0,265.2780678439091
5,2023-07-05,262.24701084064316,248.02901308199793,284.9739261343617,262.24701084064316,262.24701084064316,3.9235934489596462,3.9235934489596462,3.9235934489596462,3.9235934489596462,3.9235934489596462,3.9235934489596462,0.0,0.0,0.0,266.1706042896028
6,2023-07-06,262.02948436569153,245.1428537093433,283.88057391962735,262.02948436569153,262.02948436569153,2.178502093915824,2.178502093915824,2.178502093915824,2.178502093915824,2.178502093915824,2.178502093915824,0.0,0.0,0.0,264.20798645960735
7,2023-07-07,261.8119578907399,244.3084628457785,282.731928513383,261.8119578907399,261.8119578907399,1.3977912899936145,1.3977912899936145,1.3977912899936145,1.3977912899936145,1.3977912899936145,1.3977912899936145,0.0,0.0,0.0,263.2097491807335
8,2023-07-10,261.15937846588514,244.75691863972853,282.9058306155292,261.15937846588514,261.15937846588514,2.5960040533637567,2.5960040533637567,2.5960040533637567,2.5960040533637567,2.5960040533637567,2.5960040533637567,0.0,0.0,0.0,263.7553825192489
9,2023-07-11,260.9418519817538,246.85930879220948,284.293510187028,260.9418519817538,260.9418519817538,4.0892968312754086,4.0892968312754086,4.0892968312754086,4.0892968312754086,4.0892968312754086,4.0892968312754086,0.0,0.0,0.0,265.03114881302923
10,2023-07-12,260.7243254976225,245.6785895245599,283.00020664256687,260.7243254976225,260.7243254976225,3.9235934489585857,3.9235934489585857,3.9235934489585857,3.9235934489585857,3.9235934489585857,3.9235934489585857,0.0,0.0,0.0,264.64791894658106
11,2023-07-13,260.5067990134912,243.33243201750275,281.8426608569003,260.5067990134912,260.5067990134912,2.178502093914252,2.178502093914252,2.178502093914252,2.178502093914252,2.178502093914252,2.178502093914252,0.0,0.0,0.0,262.68530110740545
12,2023-07-14,260.28927252935995,244.36797680591835,281.2104815873158,260.28927252935995,260.28927252935995,1.3977912899874467,1.3977912899874467,1.3977912899874467,1.3977912899874467,1.3977912899874467,1.3977912899874467,0.0,0.0,0.0,261.6870638193474
13,2023-07-17,259.636693076966,244.1812842829067,281.9716846300942,259.636693076966,259.636693076966,2.596004053370997,2.596004053370997,2.596004053370997,2.596004053370997,2.596004053370997,2.596004053370997,0.0,0.0,0.0,262.23269713033704
14,2023-07-18,259.4191665928347,244.55711039166624,283.044702535774,259.4191665928347,259.4191665928347,4.089296831277047,4.089296831277047,4.089296831277047,4.089296831277047,4.089296831277047,4.089296831277047,0.0,0.0,0.0,263.50846342411177
15,2023-07-19,259.20164010870343,244.5117423117452,282.80810264499866,259.20164010870343,259.20164010870343,3.923593448963085,3.923593448963085,3.923593448963085,3.923593448963085,3.923593448963085,3.923593448963085,0.0,0.0,0.0,263.1252335576665
16,2023-07-20,258.9841136245721,243.6351414949571,280.619623260625,258.9841136245721,258.9841136245721,2.1785020939156414,2.1785020939156414,2.1785020939156414,2.1785020939156414,2.1785020939156414,2.1785020939156414,0.0,0.0,0.0,261.16261571848776
17,2023-07-21,258.7665871421367,240.43943105384406,278.7173129329602,258.7665871421367,258.7665871421367,1.3977912899877947,1.3977912899877947,1.3977912899877947,1.3977912899877947,1.3977912899877947,1.3977912899877947,0.0,0.0,0.0,260.1643784321245
18,2023-07-24,258.1140076948305,241.50900252041117,279.64869198232327,258.1140076948305,258.1140076948305,2.5960040533461783,2.5960040533461783,2.5960040533461783,2.5960040533461783,2.5960040533461783,2.5960040533461783,0.0,0.0,0.0,260.71001174817667
19,2023-07-25,257.8964812123951,243.3791024497192,280.0890900790733,257.8964812123951,257.8964812123951,4.08929683127535,4.08929683127535,4.08929683127535,4.08929683127535,4.08929683127535,4.08929683127535,0.0,0.0,0.0,261.98577804367045
